location,size,bedrooms,price
Nairobi,1400,3,125000
Mombasa,1000,2,95000
Kisumu,1200,3,110000
Nakuru,850,2,85000
Eldoret,1350,3,118000
Nairobi,1500,3,120000
Mombasa,1000,2,90000
Nairobi,2000,3,150000
Mombasa,1800,2,120000
Kisumu,2200,4,175000
Nakuru,1600,3,130000
Narok,1200,3,4500000
Kajiado,1350,4,5200000
Samburu,950,2,3000000
Turkana,1100,3,3800000
Bomet,1450,4,4800000
Kericho,1600,5,6100000
Nandi,1250,3,4200000
HomaBay,1000,2,3100000
Kakamega,1150,3,3950000
Baringo,1300,3,4300000
Kisii,1400,4,4900000
Nyamira,1050,2,3300000
Narok,1500,4,5500000
Kajiado,1700,5,6200000
Samburu,980,2,2950000
Turkana,1200,3,3600000
Bomet,1550,4,4700000
Kericho,1650,4,5900000
Nandi,1300,3,4400000
HomaBay,1100,2,3200000
Kakamega,1230,3,4100000
